iter	Passed	Remaining
0	10	10796
1	23	11749
2	34	11289
3	43	10740
4	57	11409
5	72	11831
6	83	11807
7	103	12710
8	120	13141
9	134	13150
10	135	12027
11	141	11574
12	192	14446
13	221	15488
14	256	16681
15	277	16882
16	293	16816
17	308	16679
18	319	16332
19	339	16462
20	359	16596
21	371	16344
22	383	16154
23	395	15953
24	405	15664
25	412	15302
26	426	15234
27	428	14751
28	444	14744
29	454	14566
30	470	14585
31	485	14543
32	497	14428
33	506	14268
34	520	14229
35	535	14206
36	581	15003
37	589	14776
38	591	14432
39	598	14217
40	609	14125
41	623	14085
42	638	14082
43	661	14246
44	676	14228
45	698	14343
46	720	14480
47	735	14450
48	737	14183
49	754	14194
50	766	14129
51	780	14101
52	802	14198
53	818	14210
54	842	14343
55	852	14226
56	862	14130
57	872	14031
58	900	14219
59	926	14372
60	938	14303
61	949	14221
62	958	14113
63	969	14048
64	983	14004
65	992	13912
66	1001	13804
67	1011	13727
68	1020	13640
69	1031	13565
70	1039	13473
71	1049	13392
72	1057	13294
73	1067	13223
74	1077	13163
75	1086	13080
76	1095	12998
77	1102	12907
78	1113	12853
79	1121	12771
80	1134	12742
81	1142	12668
82	1150	12591
83	1162	12553
84	1169	12467
85	1180	12421
86	1190	12369
87	1201	12331
88	1212	12287
89	1222	12234
90	1235	12216
91	1244	12159
92	1252	12092
93	1264	12068
94	1274	12022
95	1283	11963
96	1290	11889
97	1297	11824
98	1313	11833
99	1322	11787
100	1336	11775
101	1347	11742
102	1356	11692
103	1362	11623
104	1370	11565
105	1380	11524
106	1389	11477
107	1398	11435
108	1409	11405
109	1418	11362
110	1429	11336
111	1443	11328
112	1453	11290
113	1463	11262
114	1472	11216
115	1479	11160
116	1489	11130
117	1499	11090
118	1509	11061
119	1517	11013
120	1526	10975
121	1533	10924
122	1541	10880
123	1551	10846
124	1560	10813
125	1569	10772
126	1577	10734
127	1589	10719
128	1599	10686
129	1607	10643
130	1617	10617
131	1629	10604
132	1637	10564
133	1650	10553
134	1661	10535
135	1672	10516
136	1682	10485
137	1691	10452
