iter	RMSE
0	1.030338083
1	0.9933096436
2	0.9693749081
3	0.9404448966
4	0.9311370474
5	0.9079691409
6	0.8904623276
7	0.8672251047
8	0.8593683486
9	0.8488341806
10	0.8452495717
11	0.8405302084
12	0.824317355
13	0.8172391664
14	0.8080198862
15	0.8028365959
16	0.7924898996
17	0.7872629112
18	0.7836588962
19	0.776858656
20	0.7710223777
21	0.7667959399
22	0.7628157999
23	0.7542162713
24	0.749345386
25	0.7457267466
26	0.7386001287
27	0.7383493986
28	0.7344285104
29	0.7306957457
30	0.7261533338
31	0.7191778505
32	0.709857575
33	0.7033740239
34	0.6989038212
35	0.695547964
36	0.6885600512
37	0.6874864821
38	0.6866412295
39	0.6847327885
40	0.6794847979
41	0.6755160924
42	0.669206295
43	0.6645402267
44	0.6580430363
45	0.6548074431
46	0.6492546286
47	0.6449957387
48	0.6448111614
49	0.6404040794
50	0.6364756311
51	0.6303589587
52	0.6243255346
53	0.6192226953
54	0.6145826954
55	0.6088670325
56	0.6048359749
57	0.5976106045
58	0.5906745071
59	0.5844555317
60	0.5804408438
61	0.5738221215
62	0.5705613768
63	0.5663051761
64	0.5609409648
65	0.5566620505
66	0.5484642361
67	0.544444857
68	0.5372940892
69	0.5340647185
70	0.5268970545
71	0.5242194396
72	0.5205308691
73	0.5151193346
74	0.5113421953
75	0.5079157215
76	0.502945447
77	0.4996041286
78	0.4969474132
79	0.4927214104
80	0.4905210752
81	0.4863864528
82	0.4788871267
83	0.4721357953
84	0.4682861792
85	0.4646577405
86	0.4597801092
87	0.4558669885
88	0.4519964047
89	0.4497557938
90	0.4451844761
91	0.4427771524
92	0.4392342899
93	0.4346804264
94	0.4317508822
95	0.4286911674
96	0.425684384
97	0.4197473891
98	0.4135645606
99	0.4092338854
100	0.4043259956
101	0.4004695105
102	0.3964286269
103	0.3926455778
104	0.3891610235
105	0.3847510817
106	0.3812369223
107	0.3778765855
108	0.3751608767
109	0.3714499899
110	0.3680506101
111	0.3624378412
112	0.3587402718
113	0.3563898496
114	0.3529792714
115	0.3493517099
116	0.3461277595
117	0.3420865099
118	0.3400484188
119	0.3385964444
120	0.3340207324
121	0.3301268312
122	0.3273647273
123	0.3248654335
124	0.3201831709
125	0.3163795249
126	0.3134590596
127	0.3106044795
128	0.3067433613
129	0.3038482656
130	0.3016556597
131	0.3001510653
132	0.298996307
133	0.2963188104
134	0.2934599346
135	0.2911052629
136	0.2885856109
